iso_code,country,energy_metric,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2030_target
BEL,Belgium,gas_capacity_gw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2
BEL,Belgium,solar_share_elec,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012,0.05,0.195,0.648,1.415,2.765,3.377,4.292,4.735,3.864,4.084,5.591,4.802,6.036,5.879,7.622,9.948,11.853,10.295,11.006,11.693,12.356,12.997,13.618,15.90488395
BEL,Belgium,wind_share_elec,0.026,0.055,0.079,0.113,0.179,0.29,0.472,0.591,0.804,1.137,1.441,2.702,3.549,4.695,6.861,8.618,6.756,8.044,10.853,11.016,15.131,12.552,13.683,19.642,19.496,18.12,18.989,19.828,20.639,21.424,22.182,45.02349423
BEL,Belgium,gas_share_elec,20.458,21.572,23.39,27.07,25.692,27.075,28.031,29.765,30.27,33.586,34.443,29.754,30.311,26.609,28.72,34.071,27.508,28.402,34.394,28.855,31.632,23.556,24.319,23.25,19.621,25.433,25.059,24.698,24.35,24.013,23.686,35.09896056
BEL,Belgium,renewables_share_elec,1.344,1.476,1.492,1.503,1.923,2.657,3.773,4.212,5.549,6.246,7.326,9.766,13.516,14.993,18.132,22.343,17.761,19.494,24.602,21.975,27.699,23.797,27.066,34.913,37.109,35.673,37.34,38.949,40.505,42.008,43.463,51.0
BEL,Belgium,solar_electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.04,0.17,0.58,1.21,2.15,2.64,2.89,3.06,3.1,3.31,3.9,4.25,5.11,5.62,6.88,7.83,8.56,9.294,10.112,10.931,11.749,12.567,13.385,11.17
BEL,Belgium,wind_electricity,0.02,0.04,0.06,0.09,0.14,0.23,0.37,0.49,0.64,0.99,1.29,2.31,2.76,3.67,4.62,5.57,5.42,6.52,7.57,9.75,12.81,12.0,12.35,15.46,14.08,16.359,17.447,18.536,19.625,20.714,21.803,31.62
BEL,Belgium,gas_electricity,15.98,15.78,17.87,21.61,20.04,21.5,21.99,24.66,24.11,29.25,30.84,25.44,23.57,20.8,19.34,22.02,22.07,23.02,23.99,25.54,26.78,22.52,21.95,18.3,14.17,22.961,23.025,23.089,23.153,23.218,23.282,24.65
BIH,Bosnia and Herzegovina,hydro_capacity_gw,1.51,1.51,1.51,1.51,1.54,1.54,1.54,1.54,1.57,1.57,1.7,1.7,1.7,1.7,1.71,1.72,1.76,1.79,1.82,1.82,1.83,1.84,1.84,1.84,1.87,1.844,1.844,1.844,1.844,1.844,1.844,2.527
BIH,Bosnia and Herzegovina,solar_capacity_gw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.02,0.02,0.02,0.03,0.06,0.1,0.21,0.21,0.239,0.275,0.311,0.348,0.384,0.421,1.492
BIH,Bosnia and Herzegovina,wind_capacity_gw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.09,0.09,0.14,0.14,0.14,0.22,0.219,0.242,0.266,0.289,0.313,0.336,0.6
BIH,Bosnia and Herzegovina,biofuel_capacity_gw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.006,0.006,0.006,0.007,0.007,0.007,0.025
BIH,Bosnia and Herzegovina,renewables_share_energy,49.037,49.146,49.484,40.431,47.46,48.154,44.478,34.337,33.197,40.388,47.571,29.208,30.116,42.069,34.982,33.883,31.785,23.609,34.437,36.788,29.254,39.064,32.147,39.628,36.595,32.433,32.254,32.082,31.916,31.756,31.601,70.1
BIH,Bosnia and Herzegovina,hydro_electricity,5.09,5.18,5.27,4.5,5.98,6.0,5.84,3.99,4.87,6.24,8.03,4.39,4.15,7.24,5.93,5.54,5.59,3.79,6.42,6.1,4.58,6.69,4.71,6.11,4.81,5.38,5.38,5.38,5.38,5.38,5.38,6.563
BIH,Bosnia and Herzegovina,solar_electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.02,0.02,0.03,0.05,0.07,0.11,0.2,0.34,0.311,0.36,0.409,0.457,0.506,0.554,1.639
BIH,Bosnia and Herzegovina,wind_electricity,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.25,0.26,0.38,0.39,0.26,0.27,0.367,0.391,0.414,0.438,0.461,0.485,1.261
BIH,Bosnia and Herzegovina,biofuel_electricity,,,,,,,,,,,,,,,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.04,0.03,0.04,0.04,0.045,0.05,0.054,0.059,0.064,0.068,0.043
BWA,Botswana,solar_capacity_gw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.013,0.014,0.015,0.016,0.017,0.018,0.4
BWA,Botswana,wind_capacity_gw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05
BRA,Brazil,hydro_capacity_gw,67.27,68.48,70.63,71.73,72.32,73.82,75.52,76.88,77.79,79.03,81.08,83.03,87.41,92.01,92.86,94.84,106.58,107.55,107.75,109.09,109.28,109.41,109.76,109.92,109.98,109.67,109.67,109.67,109.67,109.67,109.67,116.81
BRA,Brazil,solar_capacity_gw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.02,0.05,0.14,1.21,2.47,4.71,8.49,14.51,25.4,37.94,53.12,54.566,62.97,71.374,79.779,88.183,96.587,47.08
BRA,Brazil,wind_capacity_gw,0.02,0.02,0.02,0.02,0.02,0.02,0.23,0.24,0.34,0.6,0.93,1.53,1.9,2.25,5.03,7.68,10.32,12.45,14.51,15.46,17.22,21.0,24.2,29.11,32.96,34.87,38.071,41.272,44.473,47.674,50.875,31.16
BRA,Brazil,biofuel_capacity_gw,3.57,4.19,4.92,5.18,5.29,5.42,6.11,6.44,6.97,8.33,10.1,11.01,11.52,12.63,13.52,14.08,14.65,15.04,15.14,15.35,15.71,16.38,17.23,17.49,17.81,19.439,20.091,20.743,21.395,22.047,22.699,17.17
BRA,Brazil,nuclear_capacity_gw,1.97,1.97,2.01,2.01,2.01,2.01,2.01,2.01,2.01,2.01,2.01,2.01,2.01,1.99,1.99,1.99,1.99,1.99,1.99,1.99,1.99,1.99,1.99,1.99,1.99,1.991,1.99,1.99,1.989,1.989,1.988,1.99
BRA,Brazil,coal_capacity_gw,0.98,0.96,1.19,1.28,1.18,1.18,1.15,1.29,1.31,1.27,1.42,1.74,2.48,3.19,3.18,3.21,3.4,3.73,3.25,3.58,3.58,3.58,3.47,3.47,3.47,4.151,4.29,4.429,4.569,4.708,4.847,3.18
BRA,Brazil,gas_capacity_gw,4.9,4.81,6.91,8.45,11.76,11.69,11.74,11.94,12.52,11.69,13.33,12.74,12.42,13.21,13.72,13.8,14.19,13.02,13.37,14.14,15.7,17.1,17.62,18.29,18.29,18.414,18.854,19.294,19.734,20.174,20.614,33.5
BRA,Brazil,hydro_share_elec,91.326,85.801,86.226,86.553,85.633,86.411,85.833,86.846,83.002,86.623,80.706,82.846,77.862,71.747,67.153,65.11,67.558,64.935,66.334,64.256,64.536,57.248,64.231,61.155,56.449,52.413,50.637,48.978,47.424,45.965,44.593,55.28
BRA,Brazil,solar_share_elec,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.011,0.016,0.145,0.59,1.074,1.75,2.643,4.531,7.268,9.743,9.253,10.327,11.331,12.272,13.154,13.984,6.49
BRA,Brazil,wind_share_elec,0.0,0.01,0.018,0.017,0.016,0.023,0.059,0.153,0.265,0.275,0.436,0.522,0.947,1.207,2.196,3.915,5.94,7.418,8.268,9.042,9.289,11.406,12.276,13.753,14.821,14.86,15.625,16.34,17.01,17.639,18.23,11.75
