iso_code,country,energy_metric,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
ALB,Albania,renewables_electricity,4.55,3.52,3.48,5.12,5.41,5.32,4.95,2.76,3.76,5.2,7.57,4.13,4.72,6.96,4.72,5.89,7.78,4.53,8.55,5.2,5.31,8.94,6.97,9.01,10.03,8.301,8.378,8.454,8.53,8.606,8.682
ALB,Albania,fossil_electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DZA,Algeria,hydro_capacity_gw,0.28,0.28,0.28,0.28,0.28,0.28,0.25,0.25,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.21,0.13,0.13,0.13,0.13,0.146,0.146,0.146,0.146,0.146,0.146
DZA,Algeria,solar_capacity_gw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.02,0.02,0.03,0.06,0.26,0.35,0.37,0.37,0.37,0.37,0.45,0.46,0.46,0.483,0.502,0.521,0.54,0.559,0.578
DZA,Algeria,wind_capacity_gw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
DZA,Algeria,biofuel_capacity_gw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DZA,Algeria,nuclear_capacity_gw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DZA,Algeria,coal_capacity_gw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DZA,Algeria,gas_capacity_gw,5.46,5.46,5.89,6.01,6.31,7.04,7.49,7.97,8.06,10.86,10.98,11.02,12.46,14.54,15.38,16.58,18.22,18.51,20.12,22.46,23.2,23.66,24.46,25.66,26.57,26.792,27.763,28.733,29.704,30.674,31.645
DZA,Algeria,renewables_capacity_gw,0.28,0.28,0.28,0.28,0.28,0.28,0.25,0.25,0.23,0.23,0.25,0.25,0.25,0.25,0.27,0.3,0.5,0.59,0.61,0.61,0.59,0.51,0.59,0.6,0.6,0.639,0.658,0.677,0.696,0.715,0.734
DZA,Algeria,fossil_capacity_gw,5.46,5.46,5.89,6.01,6.31,7.04,7.49,7.97,8.06,10.86,10.98,11.02,12.46,14.54,15.38,16.58,18.22,18.51,20.12,22.46,23.2,23.66,24.46,25.66,26.57,26.792,27.763,28.733,29.704,30.674,31.645
DZA,Algeria,hydro_share_elec,0.203,0.271,0.222,0.9,0.818,1.657,0.638,0.604,0.71,0.792,0.38,0.997,1.1,0.559,0.393,0.206,0.314,0.079,0.157,0.185,0.063,0.012,0.022,0.021,0.0,0.02,0.02,0.019,0.018,0.018,0.017
DZA,Algeria,solar_share_elec,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.088,0.129,0.753,0.904,0.874,1.038,0.927,0.911,0.907,0.919,0.954,0.958,0.962,0.965,0.969,0.972
DZA,Algeria,wind_share_elec,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029,0.043,0.013,0.013,0.012,0.013,0.012,0.011,0.021,0.03,0.026,0.028,0.03,0.032,0.033,0.035
DZA,Algeria,biofuel_share_elec,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DZA,Algeria,nuclear_share_elec,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DZA,Algeria,coal_share_elec,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DZA,Algeria,gas_share_elec,99.797,99.729,99.778,99.1,99.182,98.343,99.362,99.396,99.29,99.208,99.62,99.003,98.9,99.441,99.607,99.676,99.514,99.155,98.926,98.929,98.886,99.05,99.056,99.051,99.05,99.0,98.995,98.99,98.985,98.98,98.976
